Order Qty (cases),List Type,SKU/MBLL Item Number,UPC/GTIN,Supplier,Brand,Type,Sub-Type,Description1,THC range,CBD range,Unit Vol/Size,Unit of Measure,Unit Price,Units Per Case,Case Price,Product Notifications
,CANNABIS AVAILABLE,44011,879383001269,DYKSTRA GREENHOUSES,DG,DRIED FLOWER,WHOLE BUD/FLOWER,SWEET VENOM LITE 28G,130 - 200 mg/g,0 - 50 mg/g,28,g,99.18,6,595.08, 
,CANNABIS AVAILABLE,44019,684945000648,WPCP LTD,KUSH KRAFT,EXTRACTS INHALED,HASH,LE HASH 1.5G,780 - 915 mg/unit,.001 - 30 mg/unit,1.5,g,35.82,12,429.84, 
,CANNABIS AVAILABLE,44021,684945000662,WPCP LTD,KUSH KRAFT,EXTRACTS INHALED,HASH,BANGERS AND HASH 2G,500 - 640 mg/unit,.001 - 40 mg/unit,2,g,27.03,12,324.36, 
,CANNABIS AVAILABLE,44033,842650001224,BZAM MANAGEMENT INC,-NESS,DRIED FLOWER,PRE-ROLLED,CHOCOLATE CHEESECAKE PR7X0.5G,200 - 260 mg/g,.0003 - 10 mg/g,3.5,g,20.30,12,243.6, 
,CANNABIS AVAILABLE,44034,676338001141,SENSI BRANDS,STATION HOUSE,DRIED FLOWER,PRE-ROLLED,STATION HOUSE PR6X0.5G,160 - 220 mg/g,.0003 - 20 mg/g,3,g,18.93,12,227.16, 
,CANNABIS AVAILABLE,44035,676338001158,SENSI BRANDS,STATION HOUSE,DRIED FLOWER,PRE-ROLLED,STATION HOUSE PR12X0.5G,160 - 220 mg/g,.0002 - 20 mg/g,6,g,36.63,12,439.56, 
,CANNABIS AVAILABLE,44036,676338001172,SENSI BRANDS,STATION HOUSE,DRIED FLOWER,PRE-ROLLED,STATION HOUSE PR24X0.5G,160 - 220 mg/g,.0001 - 20 mg/g,12,g,66.34,6,398.04, 
,CANNABIS AVAILABLE,44038,676338000359,SENSI BRANDS,STATION HOUSE,DRIED FLOWER,WHOLE BUD/FLOWER,STATION HOUSE 14G,180 - 220 mg/g,.0001 - 20 mg/g,14,g,52.44,6,314.64, 
,CANNABIS AVAILABLE,44039,676338000410,SENSI BRANDS,STATION HOUSE,DRIED FLOWER,WHOLE BUD/FLOWER,STATION HOUSE 28G,180 - 220 mg/g,0 - 20 mg/g,28,g,100.00,6,600, 
,CANNABIS AVAILABLE,44040,827763002641,THE GREEN ORGANIC DUTCHMAN,TGOD,DRIED FLOWER,PRE-ROLLED,ORGANIC ROCKSTAR TUNA PR3X0.5G,220 - 280 mg/g,.0007 - 20 mg/g,1.5,g,13.00,12,156, 
,CANNABIS AVAILABLE,44041,676338001417,SENSI BRANDS,POTLUCK,DRIED FLOWER,WHOLE BUD/FLOWER,POTLUCK 7G,160 - 220 mg/g,.0001 - 20 mg/g,7,g,25.70,6,154.2, 
,CANNABIS AVAILABLE,44042,827763002658,THE GREEN ORGANIC DUTCHMAN,TGOD,DRIED FLOWER,PRE-ROLLED,ORGANIC SUGAR BUSH PR3X0.5G,220 - 280 mg/g,.0007 - 20 mg/g,1.5,g,13.00,12,156, 
,CANNABIS AVAILABLE,44043,676338001387,SENSI BRANDS,POTLUCK,DRIED FLOWER,WHOLE BUD/FLOWER,POTLUCK 7G,160 - 220 mg/g,.0001 - 20 mg/g,7,g,25.70,6,154.2, 
,CANNABIS AVAILABLE,44044,676338001370,SENSI BRANDS,POTLUCK,DRIED FLOWER,WHOLE BUD/FLOWER,POTLUCK 7G,160 - 220 mg/g,.0001 - 20 mg/g,7,g,25.70,6,154.2, 
,CANNABIS AVAILABLE,44045,676338001394,SENSI BRANDS,POTLUCK,DRIED FLOWER,WHOLE BUD/FLOWER,POTLUCK 7G,160 - 220 mg/g,.0001 - 20 mg/g,7,g,25.70,6,154.2, 
,CANNABIS AVAILABLE,44046,676338000601,SENSI BRANDS,SENSIMILA,DRIED FLOWER,WHOLE BUD/FLOWER,SENSIMILA FLOWER 3.5G,240 - 310 mg/g,.0003 - 20 mg/g,3.5,g,35.33,6,211.98, 
,CANNABIS AVAILABLE,44047,676338000625,SENSI BRANDS,SENSIMILA,DRIED FLOWER,PRE-ROLLED,SENSIMILA PR3X0.5G,240 - 310 mg/g,.0007 - 20 mg/g,1.5,g,17.65,6,105.9, 
,CANNABIS AVAILABLE,44048,676338001431,SENSI BRANDS,SENSIMILA,DRIED FLOWER,WHOLE BUD/FLOWER,SENSIMILA FLOWER 3.5G,240 - 310 mg/g,.0003 - 20 mg/g,3.5,g,35.33,6,211.98, 
,CANNABIS AVAILABLE,44049,800447001581,INDIVA INC,ARTISAN BATCH,DRIED FLOWER,PRE-ROLLED,DONNY BURGER PR2X0.5G,200 - 260 mg/g,.001 - 10 mg/g,1,g,8.99,24,215.76, 
,CANNABIS AVAILABLE,44050,800447001697,INDIVA INC,INDIVA,DRIED FLOWER,PRE-ROLLED,RAINBOW ROLL PR 10X0.35,180 - 240 mg/g,.0003 - 10 mg/g,3.5,g,15.17,12,182.04, 
,CANNABIS AVAILABLE,44051,800447000362,INDIVA INC,INDIVA,EXTRACTS INGESTED,GEL CAPS,INDICA GEL CAPS THC15X.307ML,483.7 - 621.9 mg/unit,.0001 - 69.1 mg/unit,4.61,ml,16.53,12,198.36, 
,CANNABIS AVAILABLE,44052,800447000379,INDIVA INC,INDIVA,EXTRACTS INGESTED,GEL CAPS,SATIVA GEL CAPS THC15X.307ML,483.7 - 621.9 mg/unit,.0001 - 69.1 mg/unit,4.61,ml,16.53,12,198.36, 
,CANNABIS AVAILABLE,44053,695275001168,TANTALUS LABS,TANTALUS LABS,DRIED FLOWER,WHOLE BUD/FLOWER,BLACKBERRY CREAM 3.5G,210 - 250 mg/g,.0003 - .02 mg/g,3.5,g,22.72,12,272.64, 
,CANNABIS AVAILABLE,44054,695275001113,TANTALUS LABS,TANTALUS LABS,DRIED FLOWER,PRE-ROLLED,WEDDING CRASHERS PR3X0.5G,100 - 140 mg/g,.0007 - .02 mg/g,1.5,g,9.19,24,220.56, 
,CANNABIS AVAILABLE,44058,00672632001269,HIGHLAND GROW INC,HIGHLAND GROW,DRIED FLOWER,PRE-ROLLED,GAS TANK PR3X0.5G,230 - 300 mg/g,.0007 - 10 mg/g,1.5,g,13.49,48,647.52, 
,CANNABIS AVAILABLE,44060,628504711446,OGEN LTD,OGEN,DRIED FLOWER,WHOLE BUD/FLOWER,BACIO PUNCH #8,200 - 260 mg/g,.01 - 1 mg/g,28,g,126.92,4,507.68, 
,CANNABIS AVAILABLE,44061,628504711644,OGEN LTD,OGEN,DRIED FLOWER,WHOLE BUD/FLOWER,SPACE FLIGHT SUPERSTAR #11,200 - 260 mg/g,.01 - 1 mg/g,28,g,126.92,4,507.68, 
,CANNABIS AVAILABLE,44063,628176844251,WEST ISLAND CULTURE,OUEST,DRIED FLOWER,WHOLE BUD/FLOWER,BERMUDA TRIANGLE,290 - 350 mg/g,.0003 - 10 mg/g,3.5,g,32.95,12,395.4, 
,CANNABIS AVAILABLE,44064,805429000071,MEDIWANNA,ELIO'S RESERVE,DRIED FLOWER,WHOLE BUD/FLOWER,DARK SHADOW HAZE 3.5G,280 - 350 mg/g,.0003 - 30 mg/g,3.5,g,28.45,12,341.4, 
,CANNABIS AVAILABLE,44065,805429000194,MEDIWANNA,ELIO'S RESERVE,DRIED FLOWER,PRE-ROLLED,FRUITY Z PR3X0.5G,200 - 270 mg/g,25 - 35 mg/g,1.5,g,13.84,24,332.16, 
,CANNABIS AVAILABLE,44066,805429000477,MEDIWANNA,ELIO'S RESERVE,VAPE,CARTRIDGE 510,SPICED PEAR 1G VAPE CART,750 - 860 mg/unit,1 - 5 mg/unit,1,g,34.61,12,415.32, 
,CANNABIS AVAILABLE,44068,842537000517,AGMEDICA BIOSCIENCE INC,FIVE FOUNDERS,DRIED FLOWER,MILLED/BLENDED,HAZY GLAZE 7G,24.2857 - 31.4286 mg/g,.0001 - 1.4286 mg/g,7,g,22.18,12,266.16, 
,CANNABIS AVAILABLE,44069,841432014056,PEACE NATURALS INC,SPINACH,EDIBLES-CANDY/CHOCOLATE/CONFEC,CANDIES-GEL,SOURZ - CHERRY LIME 5X2MG,10 - 10 mg/unit,.001 - .1 mg/unit,25,g,4.70,12,56.4, 
,CANNABIS AVAILABLE,44070,841432010379,PEACE NATURALS INC,SPINACH,DRIED FLOWER,WHOLE BUD/FLOWER,WEDDING CAKE 28G,200 - 260 mg/g,0 - 10 mg/g,28,g,91.00,6,546, 
,CANNABIS AVAILABLE,44078,827885013105,SUNDIAL GROWERS,PALMETTO,VAPE,CARTRIDGE 510,SUPER TROPIC HAZE VAPE 510,800 - 860 mg/unit,.1 - 1 mg/unit,1,g,26.48,12,317.76, 
,CANNABIS AVAILABLE,44079,827885013112,SUNDIAL GROWERS,TOP LEAF,EXTRACTS INHALED,FORTIFIED PRE-ROLLED,PINK PLATINUM HAZE PR4X0.5G,620 - 740 mg/unit,.2 - 2 mg/unit,2,g,30.33,12,363.96, 
,CANNABIS AVAILABLE,44080,827885012603,SUNDIAL GROWERS,SPIRITLEAF SELECTS,DRIED FLOWER,WHOLE BUD/FLOWER,FRENCH TOAST #1 3.5G,200 - 260 mg/g,1 - 10 mg/g,3.5,g,17.36,12,208.32, 
,CANNABIS AVAILABLE,44081,827885012610,SUNDIAL GROWERS,SPIRITLEAF SELECTS,DRIED FLOWER,PRE-ROLLED,FRENCH TOAST #1  PR3X0.5G,200 - 260 mg/g,1 - 10 mg/g,1.5,g,11.16,12,133.92, 
,CANNABIS AVAILABLE,44085,827885013068,SUNDIAL GROWERS,PALMETTO,DRIED FLOWER,MILLED/BLENDED,FRUIT SALAD,200 - 260 mg/g,1 - 10 mg/g,7,g,18.66,12,223.92, 
,CANNABIS AVAILABLE,44086,827885013082,SUNDIAL GROWERS,PALMETTO,DRIED FLOWER,MILLED/BLENDED,KUSH GARDEN,200 - 260 mg/g,1 - 10 mg/g,7,g,18.66,12,223.92, 
,CANNABIS AVAILABLE,44092,697238121852,HEXO OPERATIONS INC,ORIGINAL STASH,DRIED FLOWER,WHOLE BUD/FLOWER,OS. KUSH 14G,180 - 230 mg/g,.0001 - 10 mg/g,14,g,41.47,6,248.82, 
,CANNABIS AVAILABLE,44102,697238121869,HEXO OPERATIONS INC,ORIGINAL STASH,DRIED FLOWER,WHOLE BUD/FLOWER,OS. KUSH 28G,180 - 230 mg/g,0 - 10 mg/g,28,g,74.07,6,444.42, 
,CANNABIS AVAILABLE,44108,824164001358,VALENS AGRITECH LTD,VERSUS,DRIED FLOWER,MILLED/BLENDED,QUARTER MILL 7G,210 - 280 mg/g,.0001 - 30 mg/g,7,g,21.43,12,257.16, 
,CANNABIS AVAILABLE,44111,824164001365,VALENS AGRITECH LTD,VERSUS,DRIED FLOWER,MILLED/BLENDED,QUARTER MILL 7G,210 - 280 mg/g,.0001 - 30 mg/g,7,g,21.43,12,257.16, 
,CANNABIS AVAILABLE,44112,846067001150,TRICHOME JWC ACQUISITION CORP,WAGNERS,DRIED FLOWER,PRE-ROLLED,GOLDEN GHOST OG PR3X0.5G,200 - 250 mg/g,.0007 - 10 mg/g,1.5,g,11.10,24,266.4, 
,CANNABIS AVAILABLE,44114,824164000924,VALENS AGRITECH LTD,CONTRABAND,DRIED FLOWER,WHOLE BUD/FLOWER,CNDYLND 3.5G,220 - 280 mg/g,.0003 - 30 mg/g,3.5,g,28.56,12,342.72, 
,CANNABIS AVAILABLE,44116,846067001136,TRICHOME JWC ACQUISITION CORP,WAGNERS,DRIED FLOWER,PRE-ROLLED,RAINFOREST CRUNCH PR3X0.5G,200 - 250 mg/g,.0007 - 10 mg/g,1.5,g,11.10,24,266.4, 
,CANNABIS AVAILABLE,44117,824164001044,VALENS AGRITECH LTD,CONTRABAND,DRIED FLOWER,WHOLE BUD/FLOWER,CNDYLND 14G,220 - 280 mg/g,.0001 - 30 mg/g,14,g,85.72,6,514.32, 
,CANNABIS AVAILABLE,44121,824164001020,VALENS AGRITECH LTD,VERSUS,DRIED FLOWER,WHOLE BUD/FLOWER,SUPER LEMON HAZE 28G,170 - 230 mg/g,0 - 10 mg/g,28,g,81.63,6,489.78, 
,CANNABIS AVAILABLE,44124,824164001167,VALENS AGRITECH LTD,VERSUS,DRIED FLOWER,PRE-ROLLED,JAR OF J'S PR20X0.35G,170 - 230 mg/g,.0001 - 10 mg/g,7,g,35.40,12,424.8, 
,CANNABIS AVAILABLE,44129,824164001174,VALENS AGRITECH LTD,CONTRABAND,EXTRACTS INHALED,FORTIFIED PRE-ROLLED,BIG WILLIE LIVE RESIN PR1X1G,300 - 400 mg/unit,.001 - 10 mg/unit,1,g,16.66,12,199.92, 
,CANNABIS AVAILABLE,44131,824164000986,VALENS AGRITECH LTD,VERSUS,EDIBLES-BEVERAGES LIQUID,SODAS (LIQ),MANGO RAPID SELTZER,8.5 - 10 mg/unit,.001 - 1 mg/unit,355,ml,4.28,12,51.36, 
,CANNABIS AVAILABLE,44132,846067001099,TRICHOME JWC ACQUISITION CORP,WAGNERS,DRIED FLOWER,WHOLE BUD/FLOWER,GOLDEN GHOST OG,210 - 250 mg/g,.0003 - 10 mg/g,3.5,g,24.43,24,586.32, 
,CANNABIS AVAILABLE,44133,824164000993,VALENS AGRITECH LTD,VERSUS,EDIBLES-BEVERAGES LIQUID,SODAS (LIQ),BLACK CHERRY RAPID SELTZER,8.5 - 10 mg/unit,.001 - 1 mg/unit,355,ml,4.28,12,51.36, 
,CANNABIS AVAILABLE,44135,824164001051,VALENS AGRITECH LTD,VERSUS,EDIBLES-BEVERAGES LIQUID,SODAS (LIQ),RUBY GRAPEFRUIT RAPID SELTZER,8.5 - 10 mg/unit,.001 - 1 mg/unit,355,ml,4.28,12,51.36, 
,CANNABIS AVAILABLE,44136,824164001068,VALENS AGRITECH LTD,VERSUS,EDIBLES-BEVERAGES LIQUID,SODAS (LIQ),KEY LIME RAPID SELTZER,8.5 - 10 mg/unit,.001 - 1 mg/unit,355,ml,4.28,12,51.36, 
,CANNABIS AVAILABLE,44148,628582001972,AURORA CANNABIS ENTERPRISES (VANCOU,SAN RAFAEL '71,EDIBLES-CANDY/CHOCOLATE/CONFEC,CANDIES-OTHER,SOUR PEACH LIVE RESIN 4X4.75G,8.5 - 10 mg/unit,.001 - .3 mg/unit,19,g,4.03,12,48.36, 
,CANNABIS AVAILABLE,44150,629108295141,AURORA CANNABIS ENTERPRISES (VANCOU,DAILY SPECIAL,VAPE,CARTRIDGE 510,BLUEBERRY WHITE 510 VAPE CART,680 - 800 mg/unit,.001 - 30 mg/unit,1,g,23.99,12,287.88, 
,CANNABIS AVAILABLE,44163,628634531716,WESTERN CANNABIS,RANDOM ACTS,DRIED FLOWER,WHOLE BUD/FLOWER,HYBRID FLOWER 3.5G,200 - 250 mg/g,.0003 - 50 mg/g,3.5,g,13.01,12,156.12, 
,CANNABIS AVAILABLE,44169,628634531778,WESTERN CANNABIS,WESTERN CANNABIS,DRIED FLOWER,WHOLE BUD/FLOWER,HYBRID FLOWER 3.5G,220 - 300 mg/g,.0003 - 50 mg/g,3.5,g,18.59,12,223.08, 
,CANNABIS AVAILABLE,44173,628634531792,WESTERN CANNABIS,WESTERN CANNABIS,DRIED FLOWER,WHOLE BUD/FLOWER,SATIVA FLOWER 3.5G,220 - 300 mg/g,.0003 - 50 mg/g,3.5,g,25.75,12,309, 
,CANNABIS AVAILABLE,44175,628634531815,WESTERN CANNABIS,ROGUE BOTANICALS,DRIED FLOWER,PRE-ROLLED,INDICA PR3X0.5G,150 - 220 mg/g,.0007 - 10 mg/g,1.5,g,9.40,24,225.6, 
,CANNABIS AVAILABLE,44182,842572003184,CANNMART INC,ROILTY,VAPE,CARTRIDGE 510,ROIL CANADIAN MINT CART 1G,800 - 900 mg/unit,.001 - 20 mg/unit,1,g,23.98,12,287.76, 
,CANNABIS AVAILABLE,44183,842572003078,CANNMART INC,PHYTO,VAPE,CARTRIDGE 510,BLACK CHERRY PUNCH CART 1G,800 - 900 mg/unit,.001 - 50 mg/unit,1,g,24.63,12,295.56, 
,CANNABIS AVAILABLE,44184,842572002842,CANNMART INC,ROILTY,EXTRACTS INHALED,WAX,WHITE KNIGHTS SUGAR WAX,700 - 850 mg/unit,.001 - 20 mg/unit,1,g,22.75,12,273, 
,CANNABIS AVAILABLE,44185,842572002903,CANNMART INC,ROILTY,EXTRACTS INHALED,WAX,PURPLE DREAM SUGAR WAX,700 - 850 mg/unit,.001 - 20 mg/unit,1,g,22.75,12,273, 
,CANNABIS AVAILABLE,44197,00848876000942,MOTIF LABS,SPHEREX,VAPE,CARTRIDGE 510,MANGO KUSH 1G 510,810 - 860 mg/unit,.001 - 20 mg/unit,1,g,26.27,12,315.24, 
,CANNABIS CBD AVAILABLE,44198,00848876001031,MOTIF LABS,YESTERDAY,TOPICAL PRODUCTS,TOPICAL OILS,BE FREE HEMP CBD BODY OIL,12.75 - 17.25 mg/unit,425 - 575 mg/unit,57,g,22.70,6,136.2, 
,CANNABIS AVAILABLE,44202,00848876000973,MOTIF LABS,SPHEREX,VAPE,CARTRIDGE 510,LUXE GRANOLA FUNK 1G 510,800 - 860 mg/unit,.001 - 20 mg/unit,1,g,29.52,12,354.24, 
,CANNABIS AVAILABLE,44211,00848876001307,MOTIF LABS,PAPA'S HERB,VAPE,CARTRIDGE 510,SATIVA JACK HERER 1G 510,830 - 880 mg/unit,.001 - 20 mg/unit,1,g,24.86,12,298.32, 
,CANNABIS AVAILABLE,44216,00848876001321,MOTIF LABS,PAPA'S HERB,VAPE,CARTRIDGE 510,INDICA - RNTZ 1G 510,830 - 880 mg/unit,.001 - 20 mg/unit,1,g,24.86,12,298.32, 
,CANNABIS AVAILABLE,44218,00848876001314,MOTIF LABS,PAPA'S HERB,VAPE,CARTRIDGE 510,HYBRID - WEDDING CK 1G 510,830 - 880 mg/unit,.001 - 20 mg/unit,1,g,24.86,12,298.32, 
,CANNABIS AVAILABLE,44219,00848876001420,MOTIF LABS,STICKY GREENS,VAPE,CARTRIDGE 510,SOUR FRUIT BURST 1G 510,800 - 860 mg/unit,.001 - 20 mg/unit,1,g,26.16,12,313.92, 
,CANNABIS AVAILABLE,44221,00848876001406,MOTIF LABS,STICKY GREENS,VAPE,CARTRIDGE 510,ISLAND COLADA 1G 510,800 - 860 mg/unit,.001 - 20 mg/unit,1,g,26.16,12,313.92, 
,CANNABIS AVAILABLE,44222,00848876001413,MOTIF LABS,STICKY GREENS,VAPE,CARTRIDGE 510,FRUITY O'S 1G 510,800 - 860 mg/unit,.001 - 20 mg/unit,1,g,26.16,12,313.92, 
,CANNABIS AVAILABLE,44245,628176417318,BOLD GROWTH INC,BOLD,VAPE,CARTRIDGE 510,BLUE MLK VAPE CART 1G,800 - 900 mg/unit,.001 - .001 mg/unit,1,g,29.38,12,352.56, 
,CANNABIS AVAILABLE,44252,628176417325,BOLD GROWTH INC,BOLD,VAPE,CARTRIDGE 510,FOREST PHILLY VAPE CART 1G,780 - 850 mg/unit,.001 - .001 mg/unit,1,g,28.97,12,347.64, 
,CANNABIS AVAILABLE,44267,628176417332,BOLD GROWTH INC,BOLD,DRIED FLOWER,WHOLE BUD/FLOWER,GARLIC TOAST FLOWER 3.5G,301 - 301 mg/g,1 - 10 mg/g,3.5,g,24.12,12,289.44, 
,CANNABIS AVAILABLE,44276,628176417356,BOLD GROWTH INC,BOLD,DRIED FLOWER,WHOLE BUD/FLOWER,THIN MINT GSC X SUNSET SH 3.5G,250 - 300 mg/g,1 - 10 mg/g,3.5,g,24.12,12,289.44, 
,CANNABIS AVAILABLE,44277,628176417370,BOLD GROWTH INC,BOLD,DRIED FLOWER,PRE-ROLLED,THIN MINT SUNSET SHERB PR3X.5G,250 - 300 mg/g,1 - 10 mg/g,1.5,g,13.57,12,162.84, 
,CANNABIS AVAILABLE,44278,628176417189,BOLD GROWTH INC,BOLD,DRIED FLOWER,PRE-ROLLED,ROOT BEER FLOAT PR3X0.5G,300 - 360 mg/g,1 - 10 mg/g,1.5,g,14.99,12,179.88, 
,CANNABIS AVAILABLE,44281,628176417257,BOLD GROWTH INC,BOLD,DRIED FLOWER,PRE-ROLLED,CRAFT SAMPLER PR3X0.5G,200 - 280 mg/g,1 - 10 mg/g,1.5,g,12.85,12,154.2, 
,CANNABIS AVAILABLE,44287,694144005115,APHRIA INC,GOOD SUPPLY,DRIED FLOWER,PRE-ROLLED,GROWER'S CHOICE SATIVA PR1X1G,130 - 230 mg/g,.001 - 20 mg/g,1,g,5.19,48,249.12, 
,CANNABIS AVAILABLE,44289,694144005177,APHRIA INC,GOOD SUPPLY,DRIED FLOWER,PRE-ROLLED,GROWER'S CHOICE INDICA PR1X1G,130 - 230 mg/g,.001 - 20 mg/g,1,g,5.19,48,249.12, 
,CANNABIS AVAILABLE,44292,694144012458,APHRIA INC,RIFF,DRIED FLOWER,WHOLE BUD/FLOWER,GILDED GRAMS 28G,190 - 250 mg/g,0 - 20 mg/g,28,g,90.99,6,545.94, 
,CANNABIS AVAILABLE,44353,628242701785,CANADA'S ISLAND GARDEN INC,FIGR,VAPE,CARTRIDGE 510,GO PLAY PINEAPLE EXPRESS VAPE,820 - 820 mg/unit,.001 - 20 mg/unit,1,g,27.96,12,335.52, 
,CANNABIS AVAILABLE,44357,841464003028,PHOENA INC,LIIV,DRIED FLOWER,WHOLE BUD/FLOWER,ROUTE 66 7G DRIED FLOWER,200 - 260 mg/g,.0001 - 10 mg/g,7,g,28.34,12,340.08, 
,CANNABIS AVAILABLE,44362,841464003035,PHOENA INC,LIIV,DRIED FLOWER,WHOLE BUD/FLOWER,SOMETHING ABOUT LARRY 7G,200 - 260 mg/g,.0001 - 10 mg/g,7,g,28.34,12,340.08, 
,CANNABIS AVAILABLE,44366,841464003042,PHOENA INC,LIIV,DRIED FLOWER,WHOLE BUD/FLOWER,ORANGE MONKEY 7G DRIED FLOWER,200 - 260 mg/g,.0001 - 10 mg/g,7,g,28.34,12,340.08, 
,CANNABIS AVAILABLE,44369,841464002175,PHOENA INC,XSCAPE,DRIED FLOWER,PRE-ROLLED,FLIX N CHILL PR14X0.5G,180 - 240 mg/g,.0001 - 10 mg/g,7,g,23.82,12,285.84, 
,CANNABIS AVAILABLE,44371,841464002168,PHOENA INC,XSCAPE,DRIED FLOWER,PRE-ROLLED,TGIF PR14X0.5G,180 - 240 mg/g,.0001 - 10 mg/g,7,g,23.82,12,285.84, 
,CANNABIS AVAILABLE,44377,628242850995,THC BIOMED LTD,THC BIOMED,DRIED FLOWER,WHOLE BUD/FLOWER,BC INDOOR LUCID BOLT 3.5G,200 - 240 mg/g,.0003 - 10 mg/g,3.5,g,21.39,12,256.68, 
,CANNABIS CBD AVAILABLE,44378,877579000591,APOTHECARY BOTANICALS,APOTHECARY BOTANICALS,TOPICAL PRODUCTS,BALMS/CREAMS,CBD NEEM CREAM,.001 - .001 mg/unit,250 - 250 mg/unit,120,g,38.04,12,456.48, 
,CANNABIS AVAILABLE,44379,628242851008,THC BIOMED LTD,THC BIOMED,DRIED FLOWER,WHOLE BUD/FLOWER,BC INDOOR LUCID BOLT 7G,200 - 240 mg/g,.0001 - 10 mg/g,7,g,39.08,12,468.96, 
,CANNABIS AVAILABLE,44380,877579001437,APOTHECARY BOTANICALS,BC BUD CO,DRIED FLOWER,PRE-ROLLED,ANIMAL COOKIES PR3X0.5G,230 - 260 mg/g,10 - 25 mg/g,1.5,g,15.40,24,369.6, 
,CANNABIS AVAILABLE,44382,628242851022,THC BIOMED LTD,THC BIOMED,DRIED FLOWER,WHOLE BUD/FLOWER,SMOKE THAT THUNDER 3.5G,240 - 270 mg/g,.0003 - 10 mg/g,3.5,g,24.66,12,295.92, 
,CANNABIS AVAILABLE,44383,877579001475,APOTHECARY BOTANICALS,BC BUD CO,DRIED FLOWER,PRE-ROLLED,CASHEW BREATH PR3X0.5G,230 - 260 mg/g,10 - 25 mg/g,1.5,g,14.85,24,356.4, 
,CANNABIS AVAILABLE,44384,877579001710,APOTHECARY BOTANICALS,BC BUD CO,DRIED FLOWER,PRE-ROLLED,HHH PR1X1G,240 - 270 mg/g,10 - 25 mg/g,1,g,11.72,24,281.28, 
,CANNABIS AVAILABLE,44385,877579001499,APOTHECARY BOTANICALS,BC BUD CO,DRIED FLOWER,WHOLE BUD/FLOWER,CASHEW BREATH 3.5G,230 - 260 mg/g,10 - 25 mg/g,3.5,g,30.11,12,361.32, 
,CANNABIS AVAILABLE,44386,628242851046,THC BIOMED LTD,THC BIOMED,DRIED FLOWER,WHOLE BUD/FLOWER,BC INDOOR NEBULA 15G,180 - 210 mg/g,.0001 - 10 mg/g,15,g,53.68,6,322.08, 
,CANNABIS AVAILABLE,44388,877579001451,APOTHECARY BOTANICALS,BC BUD CO,DRIED FLOWER,WHOLE BUD/FLOWER,ANIMAL COOKIES 3.5G,230 - 260 mg/g,10 - 25 mg/g,3.5,g,29.02,12,348.24, 
,CANNABIS AVAILABLE,44389,800447001161,INDIVA INC,WANA QUICK,EDIBLES-CANDY/CHOCOLATE/CONFEC,CANDIES-OTHER,LEMON CREAM HYBRID 2X4.5G,10 - 10 mg/unit,.001 - .001 mg/unit,9,g,5.40,12,64.8, 
,CANNABIS AVAILABLE,44390,800447001185,INDIVA INC,WANA QUICK,EDIBLES-CANDY/CHOCOLATE/CONFEC,CANDIES-OTHER,ISLAND PUNCH INDICA 2X4.5G,10 - 10 mg/unit,.001 - .001 mg/unit,9,g,5.40,12,64.8, 
,CANNABIS AVAILABLE,44393,818386000213,BIOSCISION PHARMA INC,FARMER JANE,VAPE,CARTRIDGE 510,FARMER JANE SATIVA VAPE CART,800 - 880 mg/unit,.001 - 25 mg/unit,1,g,32.05,24,769.2, 
,CANNABIS AVAILABLE,44394,818386000220,BIOSCISION PHARMA INC,FARMER JANE,VAPE,CARTRIDGE 510,FARMER JANE INDICA VAPE CART,800 - 880 mg/unit,.001 - 25 mg/unit,1,g,32.05,24,769.2, 
,CANNABIS AVAILABLE,44395,628242851039,THC BIOMED LTD,THC BIOMED,DRIED FLOWER,WHOLE BUD/FLOWER,THC SATIVA LANDRACE 14G,180 - 230 mg/g,.0001 - 10 mg/g,14,g,57.23,6,343.38, 
,CANNABIS AVAILABLE,44396,818386000237,BIOSCISION PHARMA INC,FARMER JANE,VAPE,CARTRIDGE 510,FARMER JANE HYBRID VAPE CART,800 - 880 mg/unit,.001 - 25 mg/unit,1,g,32.05,24,769.2, 
,CANNABIS AVAILABLE,44400,629108296148,AURORA CANNABIS ENTERPRISES (VANCOU,DAILY SPECIAL,VAPE,CARTRIDGE 510,ORANGE CKS VAPE CART,680 - 920 mg/unit,.001 - 10 mg/unit,1,g,24.97,12,299.64, 
,CANNABIS AVAILABLE,44402,629108315146,AURORA CANNABIS ENTERPRISES (VANCOU,DAILY SPECIAL,VAPE,CARTRIDGE 510,EVERGREEN KUSH SPECTRUM VAPE,680 - 850 mg/unit,.001 - 10 mg/unit,1,g,24.40,12,292.8, 
,CANNABIS AVAILABLE,44403,629108313142,AURORA CANNABIS ENTERPRISES (VANCOU,DAILY SPECIAL,VAPE,CARTRIDGE 510,LEMON HAZE FULL SPECTRUM VAPE,680 - 850 mg/unit,.001 - 10 mg/unit,1,g,24.40,12,292.8, 
,CANNABIS AVAILABLE,44404,628582001958,AURORA CANNABIS ENTERPRISES (VANCOU,SAN RAFAEL '71,EXTRACTS INHALED,LIVE RESIN,DRIFTWOOD DIESEL 1G LIVE RESIN,660 - 760 mg/unit,.001 - 5 mg/unit,1,g,40.55,12,486.6, 
